Sample:	'ANDI + AL3+(EM)
File name:	230222_sample 1_5-5_280nm.FDS
Run Date:	'12:07:49, 02/23/2022
Operator:	demo
Comment:	'

Instrument
Model:	F-4600 FL Spectrophotometer
Serial Number:	2967-002
ROM Version:	5J24000 02

Instrument Parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	280.0 nm
EM  Start WL:	300.0 nm
EM  End WL:	500.0 nm
Scan speed:	240 nm/min
Delay:	1.0 s
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	0.01 s
Corrected spectra:	Off
Shutter control:	Off

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	300.0	310.4	318.4	626.6	318.4	283.0
2	318.4	375.2	377.4	 1099	377.4	 1072
3	377.4	378.2	385.6	 1094	385.6	 1055
4	385.6	386.0	397.0	 1074	397.0	 1002
5	397.0	397.8	401.4	 1020	401.4	973.2
6	401.4	402.2	419.6	989.4	419.6	856.4
7	419.6	421.0	429.6	873.9	429.6	793.1
8	429.6	431.2	500.0	817.4	500.0	391.9

Data Points
nm	Data
300.0	154.2
301.0	160.2
302.0	169.5
303.0	184.4
304.0	217.1
305.0	264.5
306.0	333.1
307.0	417.7
308.0	498.0
309.0	568.5
310.0	613.3
311.0	618.0
312.0	585.2
313.0	536.1
314.0	478.2
315.0	400.3
316.0	346.4
317.0	311.6
318.0	298.2
319.0	301.9
320.0	298.5
321.0	315.4
322.0	322.5
323.0	325.0
324.0	331.1
325.0	340.2
326.0	359.9
327.0	366.6
328.0	383.0
329.0	398.2
330.0	412.2
331.0	428.7
332.0	453.6
333.0	472.6
334.0	484.3
335.0	505.8
336.0	533.4
337.0	537.1
338.0	563.4
339.0	585.8
340.0	608.8
341.0	617.5
342.0	626.9
343.0	654.3
344.0	676.5
345.0	695.9
346.0	712.9
347.0	741.2
348.0	766.0
349.0	793.3
350.0	812.5
351.0	830.2
352.0	845.6
353.0	867.2
354.0	879.0
355.0	898.5
356.0	919.0
357.0	934.2
358.0	953.4
359.0	970.0
360.0	983.6
361.0	992.6
362.0	 1007
363.0	 1024
364.0	 1022
365.0	 1026
366.0	 1039
367.0	 1054
368.0	 1062
369.0	 1065
370.0	 1063
371.0	 1072
372.0	 1076
373.0	 1067
374.0	 1075
375.0	 1088
376.0	 1095
377.0	 1076
378.0	 1080
379.0	 1065
380.0	 1079
381.0	 1084
382.0	 1082
383.0	 1072
384.0	 1079
385.0	 1078
386.0	 1074
387.0	 1055
388.0	 1064
389.0	 1047
390.0	 1054
391.0	 1048
392.0	 1042
393.0	 1030
394.0	 1028
395.0	 1031
396.0	 1020
397.0	 1002
398.0	 1014
399.0	 1004
400.0	995.4
401.0	988.4
402.0	974.6
403.0	973.6
404.0	967.0
405.0	960.5
406.0	949.6
407.0	948.2
408.0	953.0
409.0	930.9
410.0	931.5
411.0	920.0
412.0	923.7
413.0	908.0
414.0	908.6
415.0	907.5
416.0	910.9
417.0	891.1
418.0	878.0
419.0	880.9
420.0	862.2
421.0	873.9
422.0	850.8
423.0	851.3
424.0	846.4
425.0	829.5
426.0	824.8
427.0	827.8
428.0	823.1
429.0	813.7
430.0	811.6
431.0	810.6
432.0	795.8
433.0	800.1
434.0	802.7
435.0	787.7
436.0	781.8
437.0	773.4
438.0	773.5
439.0	748.1
440.0	751.7
441.0	761.9
442.0	752.7
443.0	736.9
444.0	749.1
445.0	736.2
446.0	721.8
447.0	712.7
448.0	708.5
449.0	707.2
450.0	700.3
451.0	696.6
452.0	675.7
453.0	677.8
454.0	671.9
455.0	670.5
456.0	656.9
457.0	657.4
458.0	656.6
459.0	633.2
460.0	629.5
461.0	622.5
462.0	617.4
463.0	612.1
464.0	608.5
465.0	598.6
466.0	587.8
467.0	586.7
468.0	582.7
469.0	564.8
470.0	564.5
471.0	555.8
472.0	539.7
473.0	541.0
474.0	532.5
475.0	531.5
476.0	516.0
477.0	508.8
478.0	513.2
479.0	508.4
480.0	487.2
481.0	490.3
482.0	481.0
483.0	472.9
484.0	471.8
485.0	458.0
486.0	461.3
487.0	448.8
488.0	440.5
489.0	436.3
490.0	440.3
491.0	441.0
492.0	420.0
493.0	420.6
494.0	412.6
495.0	404.5
496.0	398.1
497.0	399.7
498.0	391.1
499.0	385.5
500.0	391.9

